Datum,Latitude,Longitude,Label,Source,Plan_Curvature,Profile_Curvature,Aspect,TWI,Slope,Elevation,UUID,NDVI_pre,NDWI_pre,BSI_pre,Snow_depth,Snowmelt_rate_3d,Soil_L1,Soil_L2,Soil_L3,Soil_L4,Soil_Change_7d_L1,Soil_Change_7d_L4,Rainfall_1d_tp,Snowfall_1d,T2m_mean_1d,Rainfall_2d_tp,Snowfall_2d,T2m_mean_2d,Rainfall_7d_tp,Snowfall_7d,T2m_mean_7d,Rainfall_14d_tp,Snowfall_14d,T2m_mean_14d,Rainfall_21d_tp,Snowfall_21d,T2m_mean_21d,Slope_x_Soil_L1,Slope_x_Soil_L4,Slope_x_Snowmelt,TWI_x_Rainfall_2d,Aspect_North,Aspect_East
2024-02-10 00:00:00,46.70025318766257,12.370473526391768,1,field,-0.02767273411154747,0.0008392290910705924,212.599609375,-1.4624441862106323,83.29827117919922,1621.327880859375,88312458-fa9c-11ef-b94d-ea6559d31cf8,0.8291224241256714,-0.7124776244163513,-0.2915815114974975,238.2364273071289,14.7705078125,0.20794308185577393,0.20485010743141174,0.19884195923805237,0.2745361328125,-0.00047297775745391846,-0.001953125,0.3746269200928509,0.372119947016472,0.9702334594726789,0.38068149657920003,0.3780326193664223,0.17906524658205392,0.3821951407007873,0.3781272221240215,0.6263613891601789,0.3924122385215014,0.3884389227023348,-0.7681088256835711,0.709142270963639,0.6709227568935603,-2.324169616699196,17.321299222260677,22.868385239504278,0.0,-0.5567254414702139,-0.8424560701610498,-0.5387650414130453
2024-02-03 00:00:00,46.72475733759582,11.882005300940516,1,field,-0.01431944128125906,0.004519671201705933,287.91796875,-2.198230266571045,88.78904724121094,1221.9769287109375,f1cb0346-bd1d-11ef-84d1-0242ac120012,0.0288429781794548,-0.0259427037090063,-0.1964931190013885,173.93970489501953,7.313728332519531,0.19916923344135284,0.19877497851848602,0.20036408305168152,0.27667236328125,8.040666580200195e-05,-0.0021514892578125,0.005037427414208651,0.0051633630995638665,0.7342647705078353,0.005037427414208651,0.0051633630995638665,-0.09984167480466466,0.008731540851294994,0.008941433660220354,0.08567468261721034,0.2767226792871952,0.22399760568514465,-1.8636966552734147,0.7794579352252186,0.7265229688142426,-3.2367130126952897,17.684046477020047,24.56547553371638,0.0,-0.011073425407568172,0.30765503586470117,-0.9514979657924075
2024-11-03 00:00:00,46.566466465786434,11.521634676710686,1,field,-0.02894314005970955,0.010106846690177917,34.03377151489258,-2.402381420135498,77.31143951416016,498.16326904296875,c307625e-0afa-11f0-84e3-c270514588df,0.0,0.0,0.0,0.0,0.0,0.22349199652671814,0.23421256244182587,0.2681956887245178,0.2529296875,-0.04819130897521973,0.00372314453125,0.0,0.0,9.514616851806663,0.0,0.0,9.587279205322288,0.04673004150390625,0.0,10.909026031494163,0.6597042083740234,0.0,12.210722808837913,0.820159912109375,0.0,12.315520172119163,17.27848797137426,19.55435823649168,-0.0,-0.0,0.828707826772023,0.5596814610533305
2024-04-06 00:00:00,46.75969287038833,11.870043963369994,1,field,0.03332383558154106,-0.02897779643535614,118.24932098388672,2.7151265144348145,46.64801025390625,985.0567626953125,9b9cd8de-0afa-11f0-abb1-c270514588df,0.0,0.0,0.0,104.01630401611328,5.37872314453125,0.26702821254730225,0.27250349521636963,0.248829185962677,0.226043701171875,0.011371314525604248,0.0029144287109375,0.000270095095038414,0.0,6.799266113281273,0.001890665665268898,0.000675237737596035,5.893992675781273,0.6846910659223795,0.0008440471719950438,4.867930664062523,0.7800346344709397,0.0924400462768972,3.1905014648437726,0.7862468216568232,0.09595128251239658,3.2326767578125226,12.456334796988813,10.544488890096545,0.0,0.005133396477703123,-0.4733092276565783,0.8808963474865436
2024-01-04 00:00:00,46.94767585473534,11.378002835421038,1,field,-0.022223416715860367,0.0141022689640522,312.7954406738281,-1.4129430055618286,0.0,1473.522705078125,b5222930-1388-11f0-9c02-c270514588df,0.0,0.0,0.0,160.0809097290039,15.360832214355469,0.18202120065689087,0.18034780025482178,0.18517303466796875,0.261688232421875,-0.008853882551193237,-0.0023651123046875,0.13147625955753028,0.1313871835009195,-2.337040710449196,0.13147625955753028,0.1313871835009195,-4.337803649902321,0.8561990561429411,0.8560654420580249,-3.853459167480446,3.2915384438820183,3.266686224087607,-2.094700622558571,3.600454208208248,3.575512912357226,-2.176976013183571,0.0,0.0,0.0,-0.18576846133924393,0.6793829153705175,-0.7337839288936875
2024-01-04 00:00:00,46.9473952832723,11.3779352366532,1,field,-0.001784388325177133,-0.00043673213804140687,293.86761474609375,0.958084762096405,45.00428771972656,1482.1851806640625,a7a0417a-1388-11f0-9c02-c270514588df,0.0,0.0,0.0,160.0809097290039,15.360832214355469,0.18202120065689087,0.18034780025482178,0.18517303466796875,0.261688232421875,-0.008853882551193237,-0.0023651123046875,0.13269560979679226,0.1326057076221332,-2.39334680175779,0.13269560979679226,0.1326057076221332,-4.394109741210915,0.864139702823013,0.8640048495610244,-3.90976525878904,3.3220651580020784,3.296982451272197,-2.151006713867165,3.633845899719745,3.6086732908152044,-2.233282104492165,8.191734485452798,11.77709250478074,0.0,0.1271336417433971,0.4046247589571575,-0.9144828070766897
2024-01-04 00:00:00,46.94709615408428,11.378690394948324,1,field,0.016161050647497177,-0.010149984620511532,315.5013122558594,1.341588020324707,76.41075134277344,1463.7728271484375,9a30eb98-1388-11f0-895b-c270514588df,0.0,0.0,0.0,160.0809097290039,15.360832214355469,0.18202120065689087,0.18034780025482178,0.18517303466796875,0.261688232421875,-0.008853882551193237,-0.0023651123046875,0.13010384403169153,0.13001569779589772,-2.2736665039062274,0.13010384403169153,0.13001569779589772,-4.274429443359352,0.847261618450284,0.8471293990965932,-3.7900849609374774,3.257179705053568,3.2325869052670897,-2.0313264160156024,3.5628708507865667,3.5381899047642946,-2.1136018066406024,13.908376702506757,19.995794456917793,0.0,0.17454575855111149,0.7132665020219217,-0.7008929284087635
2024-01-04 00:00:00,46.946773040112575,11.379843171799802,1,field,0.00013377596042118967,0.0016999379731714725,41.336273193359375,0.4847293794155121,53.616249084472656,1485.05322265625,868dfa7c-1388-11f0-895b-c270514588df,0.0,0.0,0.0,160.0809097290039,15.360832214355469,0.18202120065689087,0.18034780025482178,0.18517303466796875,0.261688232421875,-0.008853882551193237,-0.0023651123046875,0.13309932206757366,0.13300914637511596,-2.4119890747070087,0.13309932206757366,0.13300914637511596,-4.412752014160134,0.8667687559034676,0.8666334923647809,-3.9284075317382587,3.332172187697142,3.3070131695014426,-2.1696489868163837,3.644901489140466,3.6196522952523082,-2.2519243774413837,9.759294033074639,14.030741452006623,0.0,0.06451715178644035,0.7508461447307552,0.6604771509620615
2025-08-04 00:00:00,46.52686259422656,11.761390970767248,1,field,-0.0030538870487362146,-0.00295989285223186,17.36587142944336,1.543821930885315,15.464362144470215,2000.39501953125,5f878344-7378-11f0-8574-b2374db36148,0.0,0.0,0.0,0.0,0.0,0.26406729221343994,0.20649561285972595,0.1563887745141983,0.2719268798828125,0.011197566986083984,-0.0009307861328125,0.0004940506536513567,0.0,6.910574890136742,0.0009881013073027134,0.0,7.212851501464867,0.12153646079823374,0.0,8.043082214355492,1.0923459952231496,0.0,9.233511901855492,1.185721568763256,0.0,9.828421569824242,4.083632237298275,4.205175747323665,-0.0,0.0015254524681503788,0.9544182846404481,0.29847234033321174
2024-11-07 09:00:00,46.75993691280068,11.847925174873554,1,field,0.005017404444515705,0.010210275650024414,300.2763366699219,0.7443329095840454,0.0,1453.3314208984375,37a0dbcc-0afb-11f0-9778-c270514588df,0.0,0.0,0.0,0.0,0.0,0.21241292357444763,0.2227073609828949,0.24904277920722961,0.2532958984375,-0.029118970036506653,0.00048828125,0.0,0.0,2.5850706787109603,0.0,0.0,1.8354368896484603,0.0,0.0,2.7310362548828353,0.048911319393664596,0.0,4.339800903320335,0.47520263521000744,0.0,5.321063110351585,0.0,0.0,-0.0,0.0,0.5041709958246892,-0.8636038483987559
